smiles,property_name,property_value,property_unit,label_source
*/C(=C(/c1ccc(cc1)*)\OC(=O)C)/OC(=O)C,Melting temperature,179.5,C,exp
*/C(=C(\CC*)/C)/C,Melting temperature,-79.65,C,
*/C(=C(\I)/*)/I,Thermal decomposition temperature,300.0,C,exp
*/C(=C/C(C*)C)/C,Melting temperature,-77.35,C,
*/C(=C/CC*)/C,Melting temperature,-203.1089744,C,
*/C(=C/CC*)/Cl,Melting temperature,-201.2214286,C,
*/C(=C\CC*)/C,Melting temperature,-225.3555556,C,
*/C(=C\CC*)/C(C)(C)C,Melting temperature,-168.65,C,
*/C(=C\CC*)/Cl,Melting temperature,-203.15,C,
*/C(C)=C(/*)CC(C)C,Co2 Permeability Barrer,899.9999991,Barrer,exp
*/C(C)=C(/*)CC(C)C,H2 Permeability Barrer,749.9999993,Barrer,exp
